file,alpha,beta,run,name,score,duration_ms,memory_kb
tsp/eil76.tsp,0.200000,4.000000,7,haco,572.000000,14511,2087
tsp/eil76.tsp,0.200000,4.000000,8,haco,568.000000,14698,937
tsp/eil76.tsp,0.200000,4.000000,9,haco,569.000000,14515,2301
tsp/eil76.tsp,0.200000,4.000000,10,haco,571.000000,14483,411
tsp/eil76.tsp,0.200000,4.000000,11,haco,565.000000,14524,308
tsp/eil76.tsp,0.200000,4.000000,12,haco,577.000000,14551,1012
tsp/eil76.tsp,0.200000,4.000000,13,haco,567.000000,14674,438
tsp/eil76.tsp,0.200000,4.000000,14,haco,565.000000,15042,636
tsp/eil76.tsp,0.200000,4.000000,15,haco,570.000000,15202,2642
tsp/eil76.tsp,0.200000,4.000000,16,haco,565.000000,14669,2430
tsp/eil76.tsp,0.200000,4.000000,17,haco,571.000000,14953,403
tsp/eil76.tsp,0.200000,4.000000,18,haco,568.000000,14573,1181
tsp/eil76.tsp,0.200000,4.000000,19,haco,564.000000,15005,360
tsp/eil76.tsp,0.200000,4.000000,20,haco,568.000000,14981,2596
tsp/eil76.tsp,0.200000,4.000000,1,aco,603.000000,20380,812
tsp/eil76.tsp,0.200000,4.000000,2,aco,623.000000,20881,1688
tsp/eil76.tsp,0.200000,4.000000,3,aco,608.000000,20301,861
tsp/eil76.tsp,0.200000,4.000000,4,aco,625.000000,20692,911
tsp/eil76.tsp,0.200000,4.000000,5,aco,620.000000,20450,932
tsp/eil76.tsp,0.200000,4.000000,6,aco,620.000000,20281,2750
tsp/eil76.tsp,0.200000,4.000000,7,aco,619.000000,20161,812
tsp/eil76.tsp,0.200000,4.000000,8,aco,621.000000,20129,849
tsp/eil76.tsp,0.200000,4.000000,9,aco,615.000000,20319,2155
tsp/eil76.tsp,0.200000,4.000000,10,aco,594.000000,20331,1414
tsp/eil76.tsp,0.200000,4.000000,11,aco,616.000000,20299,1073
tsp/eil76.tsp,0.200000,4.000000,12,aco,615.000000,20243,2506
tsp/eil76.tsp,0.200000,4.000000,13,aco,615.000000,20251,1091
tsp/eil76.tsp,0.200000,4.000000,14,aco,615.000000,20258,2543
tsp/eil76.tsp,0.200000,4.000000,15,aco,603.000000,20269,1843
tsp/eil76.tsp,0.200000,4.000000,16,aco,614.000000,20157,1091
tsp/eil76.tsp,0.200000,4.000000,17,aco,611.000000,20123,805
tsp/eil76.tsp,0.200000,4.000000,18,aco,607.000000,20109,1622
tsp/eil76.tsp,0.200000,4.000000,19,aco,615.000000,20131,1928
tsp/eil76.tsp,0.200000,4.000000,20,aco,613.000000,20204,844
tsp/eil76.tsp,0.200000,4.500000,1,haco,564.000000,14602,668
tsp/eil76.tsp,0.200000,4.500000,2,haco,568.000000,14650,2233
tsp/eil76.tsp,0.200000,4.500000,3,haco,568.000000,14653,2404
tsp/eil76.tsp,0.200000,4.500000,4,haco,566.000000,14571,1682
tsp/eil76.tsp,0.200000,4.500000,5,haco,564.000000,14658,1965
tsp/eil76.tsp,0.200000,4.500000,6,haco,572.000000,14560,2159
tsp/eil76.tsp,0.200000,4.500000,7,haco,563.000000,14579,2355
tsp/eil76.tsp,0.200000,4.500000,8,haco,567.000000,14618,1348
tsp/eil76.tsp,0.200000,4.500000,9,haco,566.000000,14635,919
tsp/eil76.tsp,0.200000,4.500000,10,haco,570.000000,14547,2745
tsp/eil76.tsp,0.200000,4.500000,11,haco,565.000000,14946,555
tsp/eil76.tsp,0.200000,4.500000,12,haco,566.000000,14703,1133
tsp/eil76.tsp,0.200000,4.500000,13,haco,569.000000,14586,2453
tsp/eil76.tsp,0.200000,4.500000,14,haco,565.000000,14618,412
tsp/eil76.tsp,0.200000,4.500000,15,haco,568.000000,14610,1844
tsp/eil76.tsp,0.200000,4.500000,16,haco,562.000000,14666,932
tsp/eil76.tsp,0.200000,4.500000,17,haco,571.000000,14563,1771
tsp/eil76.tsp,0.200000,4.500000,18,haco,568.000000,14523,2577
tsp/eil76.tsp,0.200000,4.500000,19,haco,568.000000,14582,990
tsp/eil76.tsp,0.200000,4.500000,20,haco,565.000000,14593,2096
tsp/eil76.tsp,0.200000,4.500000,1,aco,620.060000,23148,1271
tsp/eil76.tsp,0.200000,4.500000,2,aco,610.790000,23347,1134
tsp/eil76.tsp,0.200000,4.500000,3,aco,627.270000,23173,612
tsp/eil76.tsp,0.200000,4.500000,4,aco,624.180000,23181,754
